route_id,incident_type,severity,primary_owner,secondary_owner,escalation_window,approval_requirement,runbook,audit_event,notification_status,live_integration_status
route_data_freshness_high,DATA_FRESHNESS,SEV_2_HIGH,DATA_ENGINEERING,ANALYTICS_ENGINEERING,30m,data_product_owner,rb_stale_data,aud_evidence_generation,disabled,disabled
route_data_quality_high,DATA_QUALITY,SEV_2_HIGH,DATA_ENGINEERING,DATA_GOVERNANCE,1h,data_product_owner,rb_pipeline_failure,aud_evidence_generation,disabled,disabled
route_pipeline_failure_high,PIPELINE_FAILURE,SEV_2_HIGH,DATA_ENGINEERING,PLATFORM_ENGINEERING,30m,platform_owner,rb_pipeline_failure,aud_evidence_generation,disabled,disabled
route_contract_failure_medium,CONTRACT_FAILURE,SEV_3_MEDIUM,ANALYTICS_ENGINEERING,DATA_GOVERNANCE,4h,contract_owner,rb_dbt_contract_failure,aud_evidence_generation,disabled,disabled
route_access_control_critical,ACCESS_CONTROL,SEV_1_CRITICAL,SECURITY_OPERATIONS,DATA_GOVERNANCE,15m,security_admin,rb_governance_checksum_mismatch,aud_policy_change,disabled,disabled
route_security_event_critical,SECURITY_EVENT,SEV_1_CRITICAL,SECURITY_OPERATIONS,PLATFORM_ENGINEERING,15m,security_admin,rb_governance_checksum_mismatch,aud_privileged_role_use,disabled,disabled
route_billing_control_high,BILLING_CONTROL,SEV_2_HIGH,REVENUE_ASSURANCE,FINANCE_ANALYTICS,1h,finance_owner,rb_reconciliation_control_failure,aud_evidence_generation,disabled,disabled
route_model_governance_medium,MODEL_GOVERNANCE,SEV_3_MEDIUM,DATA_SCIENCE,DATA_GOVERNANCE,4h,model_owner,rb_model_output_validation_failure,aud_model_approval,disabled,disabled
route_feature_freshness_medium,FEATURE_FRESHNESS,SEV_3_MEDIUM,DATA_SCIENCE,ANALYTICS_ENGINEERING,4h,feature_store_owner,rb_feature_freshness_failure,aud_feature_approval,disabled,disabled
route_semantic_refresh_medium,SEMANTIC_REFRESH,SEV_3_MEDIUM,BI_ANALYTICS,ANALYTICS_ENGINEERING,4h,bi_owner,rb_powerbi_refresh_failure,aud_semantic_model_promotion,disabled,disabled
route_deployment_drift_high,DEPLOYMENT_DRIFT,SEV_2_HIGH,PLATFORM_ENGINEERING,SECURITY_OPERATIONS,30m,release_manager,rb_deployment_drift,aud_evidence_generation,disabled,disabled
route_recovery_readiness_critical,RECOVERY_READINESS,SEV_1_CRITICAL,RECOVERY_COORDINATION,PLATFORM_ENGINEERING,15m,recovery_owner,rb_recovery_readiness_failure,aud_evidence_generation,disabled,disabled
route_evidence_integrity_critical,EVIDENCE_INTEGRITY,SEV_1_CRITICAL,PLATFORM_ENGINEERING,DATA_GOVERNANCE,15m,evidence_owner,rb_evidence_checksum_failure,aud_evidence_generation,disabled,disabled
route_configuration_error_medium,CONFIGURATION_ERROR,SEV_3_MEDIUM,PLATFORM_ENGINEERING,ANALYTICS_ENGINEERING,4h,platform_owner,rb_pipeline_failure,aud_evidence_generation,disabled,disabled
